"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"56586099999","2019-01-04T12:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0020,1","99999,9,9,N","021000,1,9,9","+0050,1","-0023,1","99999,9",,,,,,,,,,,"99999,9,08057,1","2,1,016,1,+999,9",,,"SYN05256586 32971 03602 10050 21023 38057 52016 333 00257=",
"56586099999","2019-01-04T18:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","999,9,C,9999,9","00240,1,W,N","019000,1,9,9","-0016,1","-0029,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0154,1","99999,9,08076,1","2,1,006,1,+999,9",,,"SYN05856586 32/69 90000 11016 21029 38076 52006 333 00100 10154=",
"56586099999","2019-01-04T21:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0000,1","99999,9,9,9","009000,1,9,9","-0020,1","-0030,1","99999,9","06,9999,9,9","24,9999,9,9",,,,,,,,,"99999,9,08067,1","7,1,009,1,-010,1",,,"SYN004BUFR",
"56586099999","2019-01-05T00:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","007000,1,9,9","-0021,1","-0035,1","99999,9",,,,,"01,1,+01250,1,99,9",,,"9,MSL   ,+99999,+99999","01,99,1,01,1,99,9,01250,1,99,9,99,9",,"99999,9,08084,1","2,1,017,1,+999,9",,,"SYN06456586 32657 13601 11021 21035 38084 52017 81/// 333 00002 31024=",
"56586099999","2019-01-05T03:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0109,2","-0018,1","99999,9",,,,,,,,,,,"99999,9,08105,1","2,1,021,1,+999,9",,,"SYN04256586 32960 01601 10109 21018 38105 52021=",
"56586099999","2019-01-05T06:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","200,1,N,0020,1","22000,1,9,N","012000,1,9,9","+0174,1","-0111,1","99999,9",,,,,"02,1,+99999,9,99,9",,,"9,MSL   ,+99999,+99999","02,99,1,02,1,99,9,99999,9,99,9,99,9","240,N,-0026,1","99999,9,08070,1","7,1,035,1,+999,9",,,"SYN06456586 32962 22002 10174 21111 38070 57035 82/// 333 00109 21026=",
"56586099999","2019-01-05T09:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","220,1,N,0040,1","99999,9,9,N","030000,1,9,9","+0186,1","-0114,1","99999,9",,,,,,,,,,,"99999,9,08057,1","7,1,013,1,+999,9",,,"SYN05256586 32980 02204 10186 21114 38057 57013 333 00204=",
"56586099999","2019-01-05T12:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","040,1,N,0010,1","99999,9,9,N","018000,1,9,9","+0106,1","-0076,1","99999,9",,,,,,,,,,,"99999,9,08065,1","2,1,008,1,+999,9",,,"SYN05256586 32968 00401 10106 21076 38065 52008 333 00106=",
"56586099999","2019-01-05T18:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","140,1,N,0030,1","00240,1,W,N","030000,1,9,9","+0085,1","-0054,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0191,1","99999,9,08061,1","7,1,012,1,+999,9",,,"SYN05856586 32/80 91403 10085 21054 38061 57012 333 05210 10191=",
"56586099999","2019-01-05T21:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","140,1,N,0020,1","00240,1,W,N","030000,1,9,9","+0078,1","-0031,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,"99999,9,08047,1","7,1,014,1,+999,9",,,"SYN05256586 32/80 91402 10078 21031 38047 57014 333 05210=",
